,date,temp_f,precip_mm
0,2015-01-01T00:51:00,30.02,0.0
1,2015-01-01T01:51:00,30.02,0.0
2,2015-01-01T02:51:00,30.02,0.0
3,2015-01-01T03:51:00,28.94,0.0
4,2015-01-01T04:51:00,28.04,0.0
7,2015-01-01T05:51:00,28.04,0.0
8,2015-01-01T06:51:00,28.04,0.0
9,2015-01-01T07:51:00,26.96,0.0
10,2015-01-01T08:51:00,26.96,0.0
11,2015-01-01T09:51:00,26.96,0.0
12,2015-01-01T10:51:00,26.96,0.0
13,2015-01-01T11:51:00,26.96,0.0
14,2015-01-01T12:51:00,26.96,0.0
15,2015-01-01T13:51:00,28.04,0.0
16,2015-01-01T14:51:00,30.02,0.0
17,2015-01-01T15:51:00,30.92,0.0
18,2015-01-01T16:51:00,33.08,0.0
19,2015-01-01T17:51:00,35.06,0.0
20,2015-01-01T18:51:00,37.04,0.0
21,2015-01-01T19:51:00,37.94,0.0
22,2015-01-01T20:51:00,39.02,0.0
23,2015-01-01T21:51:00,39.02,0.0
24,2015-01-01T22:51:00,39.02,0.0
25,2015-01-01T23:51:00,39.02,0.0
26,2015-01-02T00:51:00,37.94,0.0
27,2015-01-02T01:51:00,37.94,0.0
28,2015-01-02T02:51:00,37.94,0.0
29,2015-01-02T03:51:00,37.94,0.0
30,2015-01-02T04:51:00,37.04,0.0
32,2015-01-02T05:51:00,37.94,0.0
33,2015-01-02T06:51:00,37.04,0.0
34,2015-01-02T07:51:00,37.04,0.0
35,2015-01-02T08:51:00,37.04,0.0
36,2015-01-02T09:51:00,35.96,0.0
37,2015-01-02T10:51:00,35.96,0.0
38,2015-01-02T11:51:00,35.96,0.0
39,2015-01-02T12:51:00,35.96,0.0
40,2015-01-02T13:51:00,37.94,0.0
41,2015-01-02T14:51:00,39.02,0.0
42,2015-01-02T15:51:00,41.0,0.0
43,2015-01-02T16:51:00,39.92,0.0
44,2015-01-02T17:51:00,41.0,0.0
45,2015-01-02T18:51:00,42.08,0.0
46,2015-01-02T19:51:00,42.08,0.0
47,2015-01-02T20:51:00,42.08,0.0
48,2015-01-02T21:51:00,41.0,0.0
49,2015-01-02T22:51:00,39.92,0.0
50,2015-01-02T23:51:00,39.92,0.0
51,2015-01-03T00:51:00,37.94,0.0
52,2015-01-03T01:51:00,37.94,0.0
53,2015-01-03T02:51:00,37.04,0.0
54,2015-01-03T03:51:00,35.96,0.0
55,2015-01-03T04:51:00,35.06,0.0
57,2015-01-03T05:51:00,35.06,0.0
58,2015-01-03T06:51:00,33.98,0.0
59,2015-01-03T07:51:00,35.06,0.0
60,2015-01-03T08:51:00,35.06,0.0
