,date,temp_f,precip_mm
0,2021-01-01T00:51:00,39.02,0.0
1,2021-01-01T01:51:00,37.94,0.0
2,2021-01-01T02:51:00,37.04,0.0
3,2021-01-01T03:51:00,35.96,0.0
4,2021-01-01T04:51:00,35.96,0.0
7,2021-01-01T05:51:00,35.96,0.0
8,2021-01-01T06:51:00,35.06,0.0
9,2021-01-01T07:51:00,35.06,0.0
10,2021-01-01T08:51:00,35.06,0.0
11,2021-01-01T09:51:00,33.98,0.0
12,2021-01-01T10:51:00,33.98,0.0
13,2021-01-01T11:51:00,33.98,0.0
14,2021-01-01T12:51:00,33.98,0.0
15,2021-01-01T13:51:00,35.06,0.0
16,2021-01-01T14:51:00,35.96,0.0
17,2021-01-01T15:51:00,37.04,0.0
18,2021-01-01T16:51:00,37.94,0.0
19,2021-01-01T17:51:00,39.02,0.0
20,2021-01-01T18:51:00,39.02,0.0
21,2021-01-01T19:51:00,39.02,0.0
22,2021-01-01T20:51:00,37.94,0.0
23,2021-01-01T21:51:00,37.04,0.3
24,2021-01-01T22:15:00,37.04,0.2
25,2021-01-01T22:51:00,37.04,0.8
26,2021-01-01T23:51:00,37.04,0.3
27,2021-01-02T00:28:00,37.04,1.2
28,2021-01-02T00:51:00,37.04,2.3
29,2021-01-02T01:12:00,37.04,0.7
30,2021-01-02T01:51:00,37.04,2.8
31,2021-01-02T01:58:00,37.04,0.5
32,2021-01-02T02:40:00,37.04,4.0
34,2021-01-02T02:51:00,37.04,5.3
35,2021-01-02T03:05:00,37.04,0.7
36,2021-01-02T03:14:00,37.04,1.5
37,2021-01-02T03:29:00,37.04,2.2
39,2021-01-02T03:51:00,37.04,3.6
40,2021-01-02T04:01:00,37.04,0.7
41,2021-01-02T04:51:00,37.94,0.5
44,2021-01-02T05:51:00,39.02,0.5
45,2021-01-02T06:02:00,37.94,0.0
46,2021-01-02T06:36:00,37.04,0.2
47,2021-01-02T06:51:00,35.96,0.3
48,2021-01-02T07:01:00,35.96,0.0
49,2021-01-02T07:12:00,35.96,0.0
50,2021-01-02T07:19:00,37.04,0.2
51,2021-01-02T07:30:00,37.04,0.2
53,2021-01-02T07:51:00,37.04,0.3
54,2021-01-02T08:08:00,37.94,0.0
56,2021-01-02T08:51:00,37.94,0.3
60,2021-01-02T09:51:00,39.02,0.0
63,2021-01-02T10:51:00,37.04,0.0
64,2021-01-02T11:51:00,37.04,0.0
66,2021-01-02T12:51:00,39.02,0.0
67,2021-01-02T13:51:00,39.92,0.0
69,2021-01-02T14:51:00,44.96,0.0
70,2021-01-02T15:51:00,50.0,0.0
71,2021-01-02T16:51:00,51.08,0.0
72,2021-01-02T17:51:00,51.08,0.0
73,2021-01-02T18:51:00,50.0,0.0
74,2021-01-02T19:51:00,48.92,0.0
75,2021-01-02T20:51:00,46.94,0.0
76,2021-01-02T21:51:00,44.06,0.0
77,2021-01-02T22:51:00,42.08,0.0
78,2021-01-02T23:51:00,42.08,0.0
79,2021-01-03T00:51:00,39.92,0.0
80,2021-01-03T01:51:00,39.02,0.0
81,2021-01-03T02:51:00,37.94,0.0
82,2021-01-03T03:51:00,37.94,0.0
83,2021-01-03T04:51:00,37.04,0.0
85,2021-01-03T05:51:00,37.04,0.0
86,2021-01-03T06:51:00,35.96,0.0
87,2021-01-03T07:51:00,35.96,0.0
88,2021-01-03T08:51:00,35.06,0.0
89,2021-01-03T09:51:00,35.06,0.0
90,2021-01-03T10:51:00,35.06,0.0
92,2021-01-03T11:51:00,35.06,0.0
93,2021-01-03T12:51:00,35.96,0.0
94,2021-01-03T13:51:00,35.96,0.0
95,2021-01-03T14:51:00,35.96,0.3
96,2021-01-03T15:25:00,35.06,0.7
97,2021-01-03T15:42:00,35.06,1.0
98,2021-01-03T15:51:00,35.06,1.3
99,2021-01-03T16:51:00,35.96,0.0
100,2021-01-03T17:51:00,37.04,0.0
101,2021-01-03T18:51:00,37.94,0.0
102,2021-01-03T19:51:00,37.04,0.0
103,2021-01-03T20:31:00,37.04,0.0
104,2021-01-03T20:51:00,37.04,0.3
105,2021-01-03T21:18:00,37.04,0.2
106,2021-01-03T21:35:00,35.96,0.7
107,2021-01-03T21:51:00,37.04,0.8
108,2021-01-03T22:51:00,37.04,0.5
109,2021-01-03T23:04:00,37.04,0.0
110,2021-01-03T23:18:00,37.04,0.2
111,2021-01-03T23:51:00,35.96,1.0
112,2021-01-04T00:51:00,35.96,1.0
113,2021-01-04T01:51:00,35.96,0.0
114,2021-01-04T02:51:00,35.96,0.0
115,2021-01-04T03:51:00,37.04,0.3
116,2021-01-04T04:51:00,35.96,0.3
118,2021-01-04T05:51:00,35.96,0.3
119,2021-01-04T06:18:00,35.96,0.0
120,2021-01-04T06:51:00,35.96,0.0
121,2021-01-04T07:34:00,35.06,0.2
