,date,temp_f,precip_mm
0,2014-01-01T00:51:00,30.02,0.0
1,2014-01-01T01:51:00,30.02,0.0
2,2014-01-01T02:51:00,28.04,0.0
3,2014-01-01T03:51:00,26.96,0.0
4,2014-01-01T04:51:00,26.060000000000002,0.0
7,2014-01-01T05:51:00,24.98,0.0
8,2014-01-01T06:51:00,24.98,0.0
9,2014-01-01T07:51:00,24.08,0.0
10,2014-01-01T08:51:00,24.08,0.0
11,2014-01-01T09:51:00,24.08,0.0
12,2014-01-01T10:51:00,24.08,0.0
13,2014-01-01T11:51:00,24.98,0.0
14,2014-01-01T12:51:00,26.060000000000002,0.0
15,2014-01-01T13:51:00,28.04,0.0
16,2014-01-01T14:51:00,28.04,0.0
17,2014-01-01T15:51:00,28.94,0.0
18,2014-01-01T16:51:00,30.02,0.0
19,2014-01-01T17:51:00,30.92,0.0
20,2014-01-01T18:51:00,32.0,0.0
21,2014-01-01T19:51:00,32.0,0.0
22,2014-01-01T20:51:00,32.0,0.0
23,2014-01-01T21:51:00,32.0,0.0
24,2014-01-01T22:51:00,33.08,0.0
25,2014-01-01T23:51:00,32.0,0.0
26,2014-01-02T00:51:00,33.08,0.0
27,2014-01-02T01:51:00,32.0,0.0
28,2014-01-02T02:51:00,32.0,0.0
30,2014-01-02T03:51:00,32.0,0.0
31,2014-01-02T04:51:00,32.0,0.0
33,2014-01-02T05:51:00,33.08,0.0
34,2014-01-02T06:51:00,32.0,0.0
35,2014-01-02T07:51:00,32.0,0.0
36,2014-01-02T08:51:00,30.02,0.0
37,2014-01-02T09:15:00,28.94,0.0
38,2014-01-02T09:51:00,28.94,0.0
39,2014-01-02T10:20:00,28.04,0.0
40,2014-01-02T10:36:00,26.96,0.2
41,2014-01-02T10:51:00,28.04,0.5
42,2014-01-02T11:51:00,26.96,0.0
43,2014-01-02T12:51:00,26.96,0.0
44,2014-01-02T13:51:00,26.96,0.0
45,2014-01-02T14:51:00,26.060000000000002,0.0
46,2014-01-02T15:51:00,26.060000000000002,0.0
47,2014-01-02T16:51:00,26.060000000000002,0.0
48,2014-01-02T17:51:00,26.060000000000002,0.0
49,2014-01-02T18:51:00,26.060000000000002,0.0
50,2014-01-02T19:51:00,26.060000000000002,0.0
51,2014-01-02T20:51:00,26.060000000000002,0.0
52,2014-01-02T21:51:00,26.060000000000002,0.0
53,2014-01-02T22:51:00,24.98,0.0
55,2014-01-02T23:51:00,24.98,0.0
59,2014-01-03T00:51:00,23.0,1.0
62,2014-01-03T01:51:00,21.92,1.5
63,2014-01-03T02:51:00,21.02,2.0
64,2014-01-03T03:51:00,19.939999999999998,1.8
65,2014-01-03T04:51:00,17.96,1.5
67,2014-01-03T05:37:00,17.06,1.0
68,2014-01-03T05:51:00,15.979999999999997,1.5
69,2014-01-03T06:51:00,12.020000000000003,1.3
70,2014-01-03T07:51:00,10.940000000000001,1.5
72,2014-01-03T08:51:00,10.940000000000001,1.0
73,2014-01-03T09:51:00,10.940000000000001,0.8
76,2014-01-03T10:51:00,10.940000000000001,0.8
80,2014-01-03T11:51:00,10.940000000000001,0.0
82,2014-01-03T12:51:00,10.04,0.5
85,2014-01-03T13:51:00,10.940000000000001,0.0
89,2014-01-03T14:51:00,12.920000000000002,0.0
90,2014-01-03T15:51:00,14.0,0.0
91,2014-01-03T16:51:00,17.96,0.0
92,2014-01-03T17:51:00,17.96,0.0
93,2014-01-03T18:51:00,17.96,0.0
94,2014-01-03T19:51:00,15.979999999999997,0.0
95,2014-01-03T20:51:00,15.979999999999997,0.0
96,2014-01-03T21:51:00,15.079999999999998,0.0
97,2014-01-03T22:51:00,14.0,0.0
98,2014-01-03T23:51:00,12.920000000000002,0.0
99,2014-01-04T00:51:00,12.020000000000003,0.0
100,2014-01-04T01:51:00,10.940000000000001,0.0
101,2014-01-04T02:51:00,10.940000000000001,0.0
102,2014-01-04T03:51:00,10.04,0.0
103,2014-01-04T04:51:00,8.96,0.0
106,2014-01-04T05:51:00,8.96,0.0
107,2014-01-04T06:51:00,8.059999999999999,0.0
108,2014-01-04T07:51:00,8.059999999999999,0.0
109,2014-01-04T08:51:00,8.96,0.0
110,2014-01-04T09:51:00,10.04,0.0
111,2014-01-04T10:51:00,10.940000000000001,0.0
112,2014-01-04T11:51:00,10.940000000000001,0.0
113,2014-01-04T12:51:00,10.940000000000001,0.0
114,2014-01-04T13:51:00,14.0,0.0
115,2014-01-04T14:51:00,17.96,0.0
116,2014-01-04T15:51:00,19.939999999999998,0.0
117,2014-01-04T16:51:00,21.02,0.0
118,2014-01-04T17:51:00,21.92,0.0
119,2014-01-04T18:51:00,24.08,0.0
120,2014-01-04T19:51:00,24.98,0.0
121,2014-01-04T20:51:00,24.98,0.0
122,2014-01-04T21:51:00,26.060000000000002,0.0
123,2014-01-04T22:51:00,26.060000000000002,0.0
124,2014-01-04T23:51:00,28.04,0.0
125,2014-01-05T00:51:00,28.94,0.0
126,2014-01-05T01:51:00,28.04,0.0
127,2014-01-05T02:51:00,26.96,0.0
128,2014-01-05T03:51:00,26.96,0.0
129,2014-01-05T04:51:00,28.04,0.0
131,2014-01-05T05:51:00,28.94,0.0
132,2014-01-05T06:51:00,28.94,0.0
133,2014-01-05T07:51:00,26.96,0.0
134,2014-01-05T08:51:00,28.04,0.0
135,2014-01-05T09:51:00,28.04,0.0
136,2014-01-05T10:51:00,28.04,0.0
138,2014-01-05T11:51:00,28.94,0.0
140,2014-01-05T12:51:00,30.02,0.0
142,2014-01-05T13:51:00,30.92,0.0
144,2014-01-05T14:23:00,30.92,0.2
145,2014-01-05T14:32:00,30.92,0.2
146,2014-01-05T14:51:00,32.0,0.5
147,2014-01-05T14:59:00,30.92,0.0
148,2014-01-05T15:01:00,30.92,0.0
149,2014-01-05T15:29:00,30.92,0.5
150,2014-01-05T15:37:00,30.92,0.7
151,2014-01-05T15:39:00,32.0,0.7
152,2014-01-05T15:51:00,32.0,1.0
153,2014-01-05T16:30:00,32.0,0.2
154,2014-01-05T16:37:00,32.0,0.5
155,2014-01-05T16:51:00,32.0,0.8
156,2014-01-05T17:26:00,32.0,0.2
157,2014-01-05T17:39:00,32.0,0.5
158,2014-01-05T17:51:00,32.0,0.5
159,2014-01-05T18:16:00,32.0,0.0
160,2014-01-05T18:24:00,32.0,0.0
