,date,temp_f,precip_mm
0,2019-01-01T00:10:00,44.06,1.0
1,2019-01-01T00:51:00,44.06,4.1
2,2019-01-01T01:02:00,44.06,0.5
3,2019-01-01T01:31:00,44.96,1.2
4,2019-01-01T01:51:00,44.96,3.8
5,2019-01-01T02:15:00,44.96,2.7
6,2019-01-01T02:27:00,44.96,4.0
7,2019-01-01T02:41:00,44.96,5.3
8,2019-01-01T02:49:00,44.6,5.5
9,2019-01-01T02:51:00,44.96,4.8
10,2019-01-01T03:51:00,46.04,2.5
11,2019-01-01T04:25:00,46.94,1.7
12,2019-01-01T04:51:00,46.94,4.3
15,2019-01-01T05:11:00,48.02,1.0
16,2019-01-01T05:36:00,46.94,1.5
18,2019-01-01T05:51:00,46.94,0.8
19,2019-01-01T06:51:00,50.0,0.5
20,2019-01-01T07:51:00,51.98,0.0
21,2019-01-01T08:15:00,50.0,0.0
22,2019-01-01T08:30:00,50.0,0.0
23,2019-01-01T08:42:00,50.0,0.2
24,2019-01-01T08:51:00,51.08,0.3
26,2019-01-01T09:51:00,53.06,0.0
29,2019-01-01T10:51:00,53.96,0.0
33,2019-01-01T11:51:00,57.02,0.0
34,2019-01-01T12:51:00,57.02,0.0
35,2019-01-01T13:51:00,57.92,0.0
36,2019-01-01T14:51:00,57.92,0.0
37,2019-01-01T15:51:00,57.92,0.0
38,2019-01-01T16:51:00,55.94,0.0
39,2019-01-01T17:51:00,55.04,0.0
40,2019-01-01T18:51:00,51.08,0.0
41,2019-01-01T19:51:00,48.92,0.0
42,2019-01-01T20:51:00,46.94,0.0
43,2019-01-01T21:51:00,44.96,0.0
44,2019-01-01T22:51:00,44.06,0.0
45,2019-01-01T23:51:00,44.06,0.0
46,2019-01-02T00:51:00,42.980000000000004,0.0
47,2019-01-02T01:51:00,42.980000000000004,0.0
48,2019-01-02T02:51:00,42.08,0.0
49,2019-01-02T03:51:00,41.0,0.0
50,2019-01-02T04:51:00,39.92,0.0
52,2019-01-02T05:51:00,37.94,0.0
53,2019-01-02T06:51:00,37.94,0.0
54,2019-01-02T07:51:00,37.04,0.0
55,2019-01-02T08:51:00,37.04,0.0
56,2019-01-02T09:51:00,35.96,0.0
57,2019-01-02T10:51:00,35.96,0.0
58,2019-01-02T11:51:00,35.06,0.0
