,date,temp_f,precip_mm
0,2018-01-01T00:51:00,12.020000000000003,0.0
1,2018-01-01T01:51:00,10.940000000000001,0.0
2,2018-01-01T02:51:00,10.04,0.0
3,2018-01-01T03:51:00,10.04,0.0
4,2018-01-01T04:51:00,8.96,0.0
7,2018-01-01T05:51:00,8.96,0.0
8,2018-01-01T06:51:00,8.96,0.0
9,2018-01-01T07:51:00,8.059999999999999,0.0
10,2018-01-01T08:51:00,8.059999999999999,0.0
11,2018-01-01T09:51:00,8.059999999999999,0.0
12,2018-01-01T10:51:00,6.979999999999997,0.0
13,2018-01-01T11:51:00,6.979999999999997,0.0
14,2018-01-01T12:51:00,6.979999999999997,0.0
15,2018-01-01T13:51:00,8.059999999999999,0.0
16,2018-01-01T14:51:00,10.940000000000001,0.0
17,2018-01-01T15:51:00,12.020000000000003,0.0
18,2018-01-01T16:51:00,14.0,0.0
19,2018-01-01T17:51:00,15.079999999999998,0.0
20,2018-01-01T18:51:00,17.06,0.0
21,2018-01-01T19:51:00,17.96,0.0
22,2018-01-01T20:51:00,17.96,0.0
23,2018-01-01T21:51:00,17.96,0.0
24,2018-01-01T22:51:00,17.96,0.0
25,2018-01-01T23:51:00,17.06,0.0
26,2018-01-02T00:51:00,17.06,0.0
27,2018-01-02T01:51:00,17.06,0.0
28,2018-01-02T02:51:00,17.06,0.0
29,2018-01-02T03:51:00,15.979999999999997,0.0
30,2018-01-02T04:51:00,15.079999999999998,0.0
32,2018-01-02T05:51:00,15.079999999999998,0.0
33,2018-01-02T06:51:00,15.079999999999998,0.0
34,2018-01-02T07:51:00,14.0,0.0
35,2018-01-02T08:51:00,14.0,0.0
36,2018-01-02T09:51:00,12.920000000000002,0.0
37,2018-01-02T10:51:00,12.2,0.0
38,2018-01-02T11:51:00,12.920000000000002,0.0
39,2018-01-02T12:51:00,12.920000000000002,0.0
40,2018-01-02T13:51:00,14.0,0.0
41,2018-01-02T14:51:00,15.979999999999997,0.0
42,2018-01-02T15:51:00,17.96,0.0
43,2018-01-02T16:51:00,21.02,0.0
44,2018-01-02T17:51:00,23.0,0.0
45,2018-01-02T18:51:00,24.98,0.0
46,2018-01-02T19:51:00,26.060000000000002,0.0
47,2018-01-02T20:51:00,24.98,0.0
48,2018-01-02T21:51:00,24.08,0.0
49,2018-01-02T22:51:00,24.08,0.0
50,2018-01-02T23:51:00,23.0,0.0
51,2018-01-03T00:51:00,21.92,0.0
52,2018-01-03T01:51:00,19.939999999999998,0.0
