,date,temp_f,precip_mm,is_snowday
0,2013-01-01,37.8,0.0,0
1,2013-01-02,27.1,0.0,0
2,2013-01-03,28.4,0.0,0
3,2013-01-04,33.4,0.0,0
4,2013-01-05,36.1,0.0,0
5,2013-01-06,38.3,0.0,0
6,2013-01-07,40.9,0.0,0
7,2013-01-08,40.7,0.0,0
8,2013-01-09,43.8,0.0,0
9,2013-01-10,44.3,0.0,0
10,2013-01-11,40.5,0.0,0
11,2013-01-12,44.6,0.57,0
12,2013-01-13,45.3,0.02,0
13,2013-01-14,52.5,0.0,0
14,2013-01-15,37.9,0.09,0
15,2013-01-16,34.2,0.63,0
16,2013-01-17,39.2,0.09,0
17,2013-01-18,30.2,0.0,0
18,2013-01-19,37.3,0.0,0
19,2013-01-20,45.3,0.0,0
20,2013-01-21,29.8,0.0,0
21,2013-01-22,22.4,0.0,0
22,2013-01-23,14.4,0.0,0
23,2013-01-24,16.8,0.0,0
24,2013-01-25,17.1,0.0,0
25,2013-01-26,19.9,0.07,0
26,2013-01-27,24.5,0.0,1
27,2013-01-28,31.8,0.0,1
28,2013-01-29,40.3,0.22,1
29,2013-01-30,45.7,0.06,0
30,2013-01-31,49.1,0.93,0
31,2013-02-01,29.3,0.01,0
32,2013-02-02,24.1,0.0,0
33,2013-02-03,26.5,0.03,0
34,2013-02-04,26.8,0.02,0
35,2013-02-05,29.1,0.01,0
36,2013-02-06,33.3,0.01,0
37,2013-02-07,29.3,0.0,0
38,2013-02-08,32.3,0.01,0
39,2013-02-09,28.8,1.52,0
40,2013-02-10,25.2,0.38,1
41,2013-02-11,38.5,0.09,1
42,2013-02-12,41.9,0.4,1
43,2013-02-13,38.2,0.0,1
44,2013-02-14,38.2,0.03,0
45,2013-02-15,43.0,0.0,0
46,2013-02-16,37.9,0.02,0
47,2013-02-17,29.0,0.0,0
48,2013-02-18,23.4,0.0,0
49,2013-02-19,39.2,0.0,0
50,2013-02-20,33.8,0.15,0
51,2013-02-21,28.0,0.0,0
52,2013-02-22,30.0,0.0,0
53,2013-02-23,38.0,0.0,0
54,2013-02-24,39.3,0.27,0
55,2013-02-25,37.5,0.01,0
56,2013-02-26,39.9,0.0,0
57,2013-02-27,40.2,1.26,0
58,2013-02-28,45.2,0.44,0
59,2013-03-01,40.0,0.0,0
60,2013-03-02,36.7,0.0,0
61,2013-03-03,32.6,0.0,0
62,2013-03-04,32.8,0.0,0
63,2013-03-05,37.9,0.0,0
64,2013-03-06,40.1,0.0,0
65,2013-03-07,36.7,0.0,0
66,2013-03-08,34.0,0.33,0
67,2013-03-09,43.7,0.4,1
68,2013-03-10,41.8,0.0,1
69,2013-03-11,44.7,0.0,0
70,2013-03-12,50.3,0.08,0
71,2013-03-13,45.0,0.71,0
72,2013-03-14,35.6,0.0,0
73,2013-03-15,36.1,0.0,0
74,2013-03-16,37.3,0.0,0
75,2013-03-17,33.0,0.12,0
76,2013-03-18,32.1,0.0,0
77,2013-03-19,36.0,0.81,0
78,2013-03-20,38.5,0.2,1
79,2013-03-21,35.7,0.0,0
80,2013-03-22,34.0,0.0,0
81,2013-03-23,38.4,0.0,0
82,2013-03-24,39.1,0.0,0
83,2013-03-25,38.3,0.0,0
84,2013-03-26,42.2,0.17,0
85,2013-03-27,43.8,0.0,0
86,2013-03-28,43.3,0.0,0
87,2013-03-29,46.7,0.0,0
88,2013-03-30,48.0,0.0,0
89,2013-03-31,49.3,0.0,0
90,2013-04-01,49.3,0.08,0
91,2013-04-02,38.0,0.0,0
92,2013-04-03,38.4,0.0,0
93,2013-04-04,39.9,0.0,0
94,2013-04-05,49.0,0.0,0
95,2013-04-06,43.1,0.0,0
96,2013-04-07,46.2,0.0,0
97,2013-04-08,59.0,0.0,0
98,2013-04-09,65.7,0.0,0
99,2013-04-10,65.1,0.0,0
100,2013-04-11,56.2,0.49,0
101,2013-04-12,44.2,0.01,0
102,2013-04-13,46.5,0.63,0
103,2013-04-14,52.3,0.01,0
104,2013-04-15,49.9,0.0,0
105,2013-04-16,53.9,0.0,0
106,2013-04-17,62.7,0.02,0
107,2013-04-18,55.3,0.01,0
108,2013-04-19,60.8,0.0,0
109,2013-04-20,55.5,0.11,0
110,2013-04-21,46.0,0.06,0
111,2013-04-22,47.6,0.0,0
112,2013-04-23,45.4,0.0,0
113,2013-04-24,52.9,0.0,0
114,2013-04-25,56.1,0.0,0
115,2013-04-26,57.3,0.0,0
116,2013-04-27,57.8,0.0,0
117,2013-04-28,58.9,0.0,0
118,2013-04-29,55.0,0.0,0
119,2013-04-30,57.7,0.04,0
120,2013-05-01,57.0,0.0,0
121,2013-05-02,58.9,0.0,0
122,2013-05-03,56.6,0.0,0
123,2013-05-04,54.7,0.0,0
124,2013-05-05,52.1,0.0,0
125,2013-05-06,55.4,0.0,0
126,2013-05-07,60.9,0.0,0
127,2013-05-08,60.3,1.28,0
128,2013-05-09,58.9,1.76,0
129,2013-05-10,66.9,0.48,0
130,2013-05-11,64.4,0.18,0
131,2013-05-12,62.6,0.92,0
132,2013-05-13,51.7,0.0,0
133,2013-05-14,51.1,0.0,0
134,2013-05-15,58.0,0.0,0
135,2013-05-16,69.5,0.0,0
136,2013-05-17,66.4,0.0,0
137,2013-05-18,61.0,0.0,0
138,2013-05-19,57.3,0.1,0
139,2013-05-20,65.0,0.51,0
140,2013-05-21,75.9,0.0,0
141,2013-05-22,71.0,0.0,0
142,2013-05-23,71.5,0.0,0
143,2013-05-24,59.6,1.91,0
144,2013-05-25,48.1,0.29,0
145,2013-05-26,55.5,0.05,0
146,2013-05-27,61.7,0.0,0
147,2013-05-28,61.1,0.0,0
148,2013-05-29,66.9,0.52,0
149,2013-05-30,81.0,0.0,0
150,2013-05-31,83.0,0.0,0
151,2013-06-01,80.8,0.0,0
152,2013-06-02,80.1,0.0,0
153,2013-06-03,72.2,1.0,0
154,2013-06-04,66.1,0.72,0
155,2013-06-05,66.0,0.0,0
156,2013-06-06,63.8,0.0,0
157,2013-06-07,61.5,0.95,0
158,2013-06-08,64.9,3.82,0
159,2013-06-09,71.7,0.48,0
160,2013-06-10,67.7,0.0,0
161,2013-06-11,69.6,1.47,0
162,2013-06-12,70.9,0.09,0
163,2013-06-13,65.7,0.0,0
164,2013-06-14,59.9,1.58,0
165,2013-06-15,69.4,0.06,0
166,2013-06-16,72.8,0.0,0
167,2013-06-17,75.3,0.0,0
168,2013-06-18,72.8,0.01,0
169,2013-06-19,67.4,0.2,0
170,2013-06-20,69.6,0.0,0
171,2013-06-21,71.6,0.0,0
172,2013-06-22,72.4,0.0,0
173,2013-06-23,76.1,0.0,0
174,2013-06-24,80.6,0.0,0
175,2013-06-25,80.9,0.0,0
176,2013-06-26,79.4,0.0,0
177,2013-06-27,78.1,0.05,0
178,2013-06-28,77.1,0.24,0
179,2013-06-29,76.2,0.0,0
180,2013-06-30,77.5,0.0,0
181,2013-07-01,74.2,0.0,0
182,2013-07-02,75.6,0.84,0
183,2013-07-03,76.0,0.08,0
184,2013-07-04,79.5,0.53,0
185,2013-07-05,82.3,0.0,0
186,2013-07-06,84.6,0.0,0
187,2013-07-07,85.6,0.0,0
188,2013-07-08,81.3,0.0,0
189,2013-07-09,78.8,0.22,0
190,2013-07-10,79.4,0.23,0
191,2013-07-11,80.6,0.0,0
192,2013-07-12,75.0,0.0,0
193,2013-07-13,72.2,0.28,0
194,2013-07-14,80.3,0.03,0
195,2013-07-15,85.3,0.0,0
196,2013-07-16,85.9,0.0,0
197,2013-07-17,86.7,0.0,0
198,2013-07-18,88.2,0.0,0
199,2013-07-19,89.1,0.0,0
200,2013-07-20,86.7,0.0,0
201,2013-07-21,82.3,0.0,0
202,2013-07-22,78.2,0.0,0
203,2013-07-23,78.7,0.37,0
204,2013-07-24,78.5,0.31,0
205,2013-07-25,67.3,0.0,0
206,2013-07-26,72.2,0.01,0
207,2013-07-27,75.2,0.0,0
208,2013-07-28,73.3,0.0,0
209,2013-07-29,75.1,0.25,0
210,2013-07-30,74.4,0.01,0
211,2013-07-31,74.1,0.0,0
212,2013-08-01,71.5,0.0,0
213,2013-08-02,73.6,0.65,0
214,2013-08-03,73.4,0.01,0
215,2013-08-04,73.2,0.05,0
216,2013-08-05,70.2,0.0,0
217,2013-08-06,72.1,0.0,0
218,2013-08-07,73.4,0.0,0
219,2013-08-08,73.8,0.18,0
220,2013-08-09,77.0,0.32,0
221,2013-08-10,77.2,0.01,0
222,2013-08-11,73.5,0.0,0
223,2013-08-12,74.5,0.05,0
224,2013-08-13,73.2,0.01,0
225,2013-08-14,68.3,0.84,0
226,2013-08-15,68.6,0.0,0
227,2013-08-16,70.9,0.0,0
228,2013-08-17,72.6,0.0,0
229,2013-08-18,72.1,0.0,0
230,2013-08-19,72.1,0.0,0
231,2013-08-20,76.6,0.0,0
232,2013-08-21,80.1,0.0,0
233,2013-08-22,75.6,0.0,0
234,2013-08-23,75.5,0.25,0
235,2013-08-24,72.0,0.0,0
236,2013-08-25,72.8,0.0,0
237,2013-08-26,74.5,0.0,0
238,2013-08-27,77.8,0.05,0
239,2013-08-28,76.4,0.01,0
240,2013-08-29,73.8,0.43,0
241,2013-08-30,75.1,0.0,0
242,2013-08-31,78.3,0.0,0
243,2013-09-01,78.9,0.0,0
244,2013-09-02,76.9,0.0,0
245,2013-09-03,75.7,0.08,0
246,2013-09-04,72.7,0.03,0
247,2013-09-05,73.0,0.0,0
248,2013-09-06,64.7,0.0,0
249,2013-09-07,67.8,0.0,0
250,2013-09-08,73.7,0.0,0
251,2013-09-09,65.3,0.0,0
252,2013-09-10,74.9,0.01,0
253,2013-09-11,84.4,0.0,0
254,2013-09-12,80.0,0.0,0
255,2013-09-13,70.1,1.66,0
256,2013-09-14,60.3,0.06,0
257,2013-09-15,60.4,0.0,0
258,2013-09-16,65.2,0.01,0
259,2013-09-17,57.8,0.02,0
260,2013-09-18,60.0,0.0,0
261,2013-09-19,64.3,0.0,0
262,2013-09-20,67.6,0.0,0
263,2013-09-21,67.7,0.0,0
264,2013-09-22,65.3,1.17,0
265,2013-09-23,57.5,0.45,0
266,2013-09-24,58.4,0.0,0
267,2013-09-25,62.5,0.0,0
268,2013-09-26,63.0,0.0,0
