,date,temp_f,precip_mm,is_snowday
0,2022-01-01,52.3,0.0,0
1,2022-01-02,53.2,0.83,0
2,2022-01-03,32.0,0.04,0
3,2022-01-04,25.3,0.0,0
4,2022-01-05,37.5,0.03,0
5,2022-01-06,38.7,0.2,0
6,2022-01-07,31.1,0.35,0
7,2022-01-08,25.2,0.03,1
8,2022-01-09,34.0,0.0,1
9,2022-01-10,32.7,0.1,1
10,2022-01-11,19.6,0.0,0
11,2022-01-12,27.9,0.0,0
12,2022-01-13,39.6,0.0,0
13,2022-01-14,39.4,0.0,0
14,2022-01-15,18.2,0.0,0
15,2022-01-16,17.3,0.0,0
16,2022-01-17,37.5,1.5,0
17,2022-01-18,33.5,0.03,0
18,2022-01-19,37.4,0.0,0
19,2022-01-20,38.8,0.15,0
20,2022-01-21,19.3,0.15,0
21,2022-01-22,20.5,0.0,0
22,2022-01-23,29.1,0.0,0
23,2022-01-24,30.5,0.02,0
24,2022-01-25,37.3,0.0,0
25,2022-01-26,25.6,0.0,0
26,2022-01-27,23.9,0.0,0
27,2022-01-28,30.6,0.0,0
28,2022-01-29,21.9,0.58,0
29,2022-01-30,17.1,0.32,1
30,2022-01-31,25.0,0.0,1
31,2022-02-01,28.6,0.0,1
32,2022-02-02,37.7,0.0,1
33,2022-02-03,44.4,0.01,1
34,2022-02-04,43.6,0.6,1
35,2022-02-05,24.9,0.53,0
36,2022-02-06,22.3,0.0,0
37,2022-02-07,32.7,0.0,0
38,2022-02-08,37.6,0.22,0
39,2022-02-09,35.8,0.07,0
40,2022-02-10,44.7,0.0,0
41,2022-02-11,47.5,0.0,0
42,2022-02-12,53.9,0.0,0
43,2022-02-13,35.0,0.14,0
44,2022-02-14,21.8,0.09,1
45,2022-02-15,21.9,0.0,1
46,2022-02-16,34.9,0.0,0
47,2022-02-17,55.6,0.0,0
48,2022-02-18,49.5,0.64,0
49,2022-02-19,31.4,0.33,0
50,2022-02-20,27.0,0.0,0
51,2022-02-21,39.2,0.0,0
52,2022-02-22,45.1,0.0,0
53,2022-02-23,60.8,0.26,0
54,2022-02-24,32.9,0.0,0
55,2022-02-25,33.2,0.5,0
56,2022-02-26,29.2,0.24,0
57,2022-02-27,35.8,0.0,0
58,2022-02-28,32.5,0.0,0
59,2022-03-01,37.3,0.0,0
60,2022-03-02,45.8,0.0,0
61,2022-03-03,41.6,0.03,0
62,2022-03-04,27.7,0.0,0
63,2022-03-05,37.8,0.0,0
64,2022-03-06,51.7,0.0,0
65,2022-03-07,67.2,0.06,0
66,2022-03-08,47.4,0.03,0
67,2022-03-09,37.7,0.01,0
68,2022-03-10,39.1,0.55,0
69,2022-03-11,45.4,0.0,0
70,2022-03-12,39.8,0.01,0
71,2022-03-13,26.7,0.49,0
72,2022-03-14,42.0,0.0,0
73,2022-03-15,53.6,0.0,0
74,2022-03-16,57.5,0.0,0
75,2022-03-17,48.9,0.0,0
76,2022-03-18,57.6,0.08,0
77,2022-03-19,57.1,0.0,0
78,2022-03-20,60.1,0.05,0
