,date,temp_f,precip_mm,is_snowday
0,2018-01-01,11.7,0.0,0
1,2018-01-02,17.9,0.0,0
2,2018-01-03,21.6,0.0,0
3,2018-01-04,25.7,0.07,0
4,2018-01-05,14.9,0.69,1
5,2018-01-06,10.2,0.0,1
6,2018-01-07,9.7,0.0,1
7,2018-01-08,22.5,0.0,1
8,2018-01-09,35.6,0.01,1
9,2018-01-10,35.1,0.0,1
10,2018-01-11,44.7,0.0,1
11,2018-01-12,54.5,0.0,1
12,2018-01-13,43.6,0.59,0
13,2018-01-14,19.2,0.05,0
14,2018-01-15,21.4,0.0,0
15,2018-01-16,29.1,0.0,0
16,2018-01-17,33.6,0.0,0
17,2018-01-18,24.7,0.03,0
18,2018-01-19,30.4,0.0,0
19,2018-01-20,43.3,0.0,0
20,2018-01-21,46.0,0.0,0
21,2018-01-22,45.1,0.01,0
22,2018-01-23,46.7,0.02,0
23,2018-01-24,41.3,0.28,0
24,2018-01-25,28.2,0.0,0
25,2018-01-26,30.7,0.0,0
26,2018-01-27,42.6,0.0,0
27,2018-01-28,51.2,0.14,0
28,2018-01-29,43.3,0.07,0
29,2018-01-30,33.1,0.09,0
30,2018-01-31,24.9,0.02,0
31,2018-02-01,37.5,0.0,0
32,2018-02-02,31.9,0.23,0
33,2018-02-03,21.8,0.18,0
34,2018-02-04,35.2,0.0,0
35,2018-02-05,36.6,0.96,0
36,2018-02-06,31.0,0.0,0
37,2018-02-07,32.9,0.0,0
38,2018-02-08,31.0,0.85,0
39,2018-02-09,29.9,0.0,0
40,2018-02-10,43.0,0.0,0
41,2018-02-11,48.3,0.88,0
42,2018-02-12,48.4,0.91,0
43,2018-02-13,32.1,0.0,0
44,2018-02-14,41.1,0.01,0
45,2018-02-15,51.0,0.11,0
46,2018-02-16,55.3,0.17,0
47,2018-02-17,34.5,0.04,0
48,2018-02-18,37.2,0.53,0
49,2018-02-19,42.5,0.01,1
50,2018-02-20,54.4,0.04,0
51,2018-02-21,65.9,0.0,0
52,2018-02-22,48.7,0.06,0
53,2018-02-23,37.6,0.17,0
54,2018-02-24,46.1,0.06,0
55,2018-02-25,42.4,0.58,0
56,2018-02-26,45.7,0.23,0
57,2018-02-27,46.5,0.0,0
58,2018-02-28,49.7,0.0,0
59,2018-03-01,55.6,0.0,0
60,2018-03-02,39.8,1.3,0
61,2018-03-03,40.3,0.94,0
62,2018-03-04,40.8,0.0,0
63,2018-03-05,37.0,0.0,0
64,2018-03-06,38.6,0.0,0
65,2018-03-07,35.6,0.11,0
66,2018-03-08,35.7,1.3,0
67,2018-03-09,35.3,0.0,1
68,2018-03-10,35.7,0.0,1
69,2018-03-11,37.7,0.0,0
70,2018-03-12,37.8,0.0,0
71,2018-03-13,35.8,0.29,0
72,2018-03-14,34.8,0.07,0
73,2018-03-15,36.8,0.01,0
74,2018-03-16,35.9,0.0,0
75,2018-03-17,35.6,0.0,0
76,2018-03-18,36.2,0.0,0
77,2018-03-19,39.4,0.0,0
78,2018-03-20,35.0,0.0,0
79,2018-03-21,34.6,0.01,0
80,2018-03-22,37.7,1.04,0
81,2018-03-23,41.6,0.06,1
82,2018-03-24,42.0,0.0,1
83,2018-03-25,39.5,0.0,0
84,2018-03-26,40.6,0.0,0
85,2018-03-27,39.8,0.0,0
86,2018-03-28,43.9,0.04,0
87,2018-03-29,50.8,0.03,0
88,2018-03-30,52.5,0.03,0
89,2018-03-31,46.6,0.03,0
90,2018-04-01,51.1,0.0,0
91,2018-04-02,39.4,0.46,0
92,2018-04-03,40.6,0.13,1
93,2018-04-04,46.7,0.26,0
94,2018-04-05,40.2,0.04,0
95,2018-04-06,44.8,0.0,0
96,2018-04-07,45.7,0.11,0
97,2018-04-08,38.6,0.0,0
98,2018-04-09,38.0,0.0,0
99,2018-04-10,42.9,0.01,0
100,2018-04-11,44.2,0.0,0
101,2018-04-12,51.5,0.0,0
102,2018-04-13,67.3,0.0,0
103,2018-04-14,67.9,0.0,0
104,2018-04-15,42.8,0.0,0
105,2018-04-16,45.5,1.68,0
106,2018-04-17,44.6,1.61,0
107,2018-04-18,43.9,0.0,0
108,2018-04-19,45.0,0.07,0
109,2018-04-20,42.0,0.08,0
110,2018-04-21,48.3,0.0,0
111,2018-04-22,54.5,0.0,0
112,2018-04-23,54.7,0.0,0
113,2018-04-24,55.6,0.0,0
114,2018-04-25,56.3,0.54,0
115,2018-04-26,59.7,0.56,0
116,2018-04-27,55.7,0.1,0
117,2018-04-28,56.4,0.05,0
118,2018-04-29,52.7,0.18,0
119,2018-04-30,48.0,0.08,0
120,2018-05-01,61.1,0.0,0
121,2018-05-02,77.0,0.0,0
122,2018-05-03,80.9,0.0,0
123,2018-05-04,76.3,0.02,0
124,2018-05-05,70.6,0.0,0
125,2018-05-06,63.8,0.0,0
126,2018-05-07,62.5,0.0,0
127,2018-05-08,61.7,0.0,0
128,2018-05-09,63.0,0.0,0
129,2018-05-10,59.4,0.0,0
130,2018-05-11,64.2,0.25,0
131,2018-05-12,58.0,0.06,0
132,2018-05-13,52.9,0.16,0
133,2018-05-14,58.0,0.13,0
134,2018-05-15,69.5,0.03,0
135,2018-05-16,62.4,0.58,0
136,2018-05-17,61.2,0.54,0
137,2018-05-18,64.3,0.02,0
138,2018-05-19,53.8,0.15,0
139,2018-05-20,67.5,0.5,0
140,2018-05-21,68.1,0.0,0
141,2018-05-22,63.0,0.0,0
142,2018-05-23,66.7,0.58,0
143,2018-05-24,73.2,0.29,0
144,2018-05-25,75.3,0.0,0
145,2018-05-26,79.9,0.0,0
146,2018-05-27,67.2,0.09,0
147,2018-05-28,60.4,0.35,0
148,2018-05-29,72.8,0.0,0
149,2018-05-30,70.0,0.0,0
150,2018-05-31,64.8,0.0,0
151,2018-06-01,70.2,0.11,0
152,2018-06-02,76.8,0.26,0
153,2018-06-03,64.0,0.09,0
154,2018-06-04,58.8,0.39,0
155,2018-06-05,65.6,0.01,0
156,2018-06-06,63.8,0.0,0
157,2018-06-07,63.6,0.0,0
158,2018-06-08,69.1,0.0,0
159,2018-06-09,74.4,0.0,0
160,2018-06-10,68.3,0.0,0
161,2018-06-11,63.9,0.01,0
162,2018-06-12,64.6,0.0,0
163,2018-06-13,68.7,0.0,0
164,2018-06-14,75.8,0.04,0
165,2018-06-15,70.2,0.0,0
166,2018-06-16,73.1,0.0,0
167,2018-06-17,77.5,0.0,0
168,2018-06-18,80.9,0.0,0
169,2018-06-19,80.6,0.15,0
170,2018-06-20,75.9,0.07,0
171,2018-06-21,74.0,0.68,0
172,2018-06-22,71.0,0.59,0
173,2018-06-23,64.2,0.1,0
174,2018-06-24,72.3,0.0,0
175,2018-06-25,74.1,0.0,0
176,2018-06-26,70.5,0.0,0
177,2018-06-27,69.3,0.0,0
178,2018-06-28,73.3,0.31,0
179,2018-06-29,79.0,1.06,0
180,2018-06-30,83.1,0.0,0
181,2018-07-01,86.4,0.0,0
182,2018-07-02,86.6,0.0,0
183,2018-07-03,82.5,0.0,0
184,2018-07-04,80.4,0.01,0
185,2018-07-05,81.0,0.0,0
186,2018-07-06,78.2,0.06,0
187,2018-07-07,70.3,0.17,0
188,2018-07-08,71.3,0.0,0
189,2018-07-09,75.7,0.0,0
190,2018-07-10,80.8,0.0,0
191,2018-07-11,80.9,0.0,0
192,2018-07-12,74.3,0.71,0
193,2018-07-13,75.5,0.0,0
194,2018-07-14,78.5,0.0,0
195,2018-07-15,75.5,1.0,0
196,2018-07-16,81.5,0.64,0
197,2018-07-17,79.2,0.0,0
198,2018-07-18,74.4,2.24,0
199,2018-07-19,74.4,0.0,0
200,2018-07-20,74.2,0.0,0
201,2018-07-21,71.8,0.0,0
202,2018-07-22,72.7,0.83,0
203,2018-07-23,75.6,0.92,0
204,2018-07-24,77.8,0.13,0
205,2018-07-25,75.8,0.51,0
206,2018-07-26,76.5,0.25,0
207,2018-07-27,78.9,0.03,0
208,2018-07-28,75.6,0.25,0
209,2018-07-29,76.4,0.0,0
210,2018-07-30,74.6,0.0,0
211,2018-07-31,73.0,0.37,0
212,2018-08-01,77.2,0.04,0
213,2018-08-02,80.8,0.06,0
214,2018-08-03,77.0,0.51,0
215,2018-08-04,77.8,0.24,0
216,2018-08-05,81.8,0.74,0
217,2018-08-06,84.4,0.0,0
218,2018-08-07,82.5,0.0,0
219,2018-08-08,80.4,0.05,0
220,2018-08-09,80.7,0.61,0
221,2018-08-10,79.3,0.0,0
222,2018-08-11,74.6,0.96,0
223,2018-08-12,76.0,1.94,0
224,2018-08-13,73.6,0.0,0
225,2018-08-14,74.1,0.66,0
226,2018-08-15,76.9,0.79,0
227,2018-08-16,82.0,0.0,0
228,2018-08-17,82.5,0.0,0
229,2018-08-18,76.9,1.1,0
230,2018-08-19,70.8,0.01,0
231,2018-08-20,70.3,0.02,0
232,2018-08-21,71.7,0.0,0
233,2018-08-22,75.5,0.83,0
234,2018-08-23,72.1,0.72,0
235,2018-08-24,73.0,0.0,0
236,2018-08-25,73.2,0.0,0
237,2018-08-26,74.8,0.0,0
238,2018-08-27,80.3,0.0,0
239,2018-08-28,85.5,0.0,0
240,2018-08-29,86.5,0.0,0
241,2018-08-30,84.2,0.0,0
242,2018-08-31,74.9,0.0,0
243,2018-09-01,72.6,0.03,0
244,2018-09-02,73.4,0.0,0
245,2018-09-03,80.7,0.0,0
246,2018-09-04,83.8,0.0,0
247,2018-09-05,82.0,0.0,0
248,2018-09-06,82.5,0.0,0
249,2018-09-07,73.9,0.36,0
250,2018-09-08,68.3,0.0,0
251,2018-09-09,59.1,0.06,0
252,2018-09-10,58.7,0.84,0
253,2018-09-11,66.8,0.51,0
254,2018-09-12,73.5,0.03,0
255,2018-09-13,71.7,0.26,0
256,2018-09-14,71.3,0.13,0
257,2018-09-15,72.0,0.0,0
258,2018-09-16,73.8,0.0,0
259,2018-09-17,73.2,0.0,0
260,2018-09-18,74.8,0.02,0
261,2018-09-19,73.8,1.18,0
262,2018-09-20,68.1,0.0,0
263,2018-09-21,68.7,0.0,0
264,2018-09-22,70.4,0.0,0
265,2018-09-23,62.9,0.0,0
266,2018-09-24,63.0,0.0,0
267,2018-09-25,64.5,0.27,0
268,2018-09-26,74.9,1.81,0
269,2018-09-27,67.7,0.08,0
270,2018-09-28,61.6,0.75,0
271,2018-09-29,63.6,0.02,0
272,2018-09-30,62.4,0.0,0
273,2018-10-01,68.5,0.0,0
274,2018-10-02,71.9,0.0,0
275,2018-10-03,68.4,0.69,0
276,2018-10-04,67.7,0.0,0
277,2018-10-05,66.4,0.04,0
278,2018-10-06,64.2,0.0,0
279,2018-10-07,71.6,0.0,0
280,2018-10-08,68.2,0.0,0
281,2018-10-09,69.8,0.0,0
282,2018-10-10,73.3,0.0,0
283,2018-10-11,73.1,0.0,0
284,2018-10-12,62.3,1.27,0
285,2018-10-13,51.5,0.04,0
286,2018-10-14,51.9,0.06,0
287,2018-10-15,58.8,0.02,0
288,2018-10-16,54.7,0.04,0
289,2018-10-17,53.1,0.01,0
290,2018-10-18,46.7,0.0,0
291,2018-10-19,49.2,0.0,0
292,2018-10-20,56.8,0.06,0
293,2018-10-21,47.9,0.0,0
294,2018-10-22,44.2,0.0,0
295,2018-10-23,54.0,0.0,0
296,2018-10-24,50.0,0.0,0
297,2018-10-25,45.5,0.0,0
298,2018-10-26,43.7,0.0,0
299,2018-10-27,47.4,0.71,0
300,2018-10-28,48.5,0.58,0
301,2018-10-29,51.4,0.08,0
302,2018-10-30,48.3,0.03,0
303,2018-10-31,53.1,0.0,0
304,2018-11-01,62.2,0.0,0
305,2018-11-02,67.7,0.0,0
306,2018-11-03,58.4,0.59,0
307,2018-11-04,48.9,0.37,0
308,2018-11-05,50.2,0.0,0
309,2018-11-06,52.7,0.3,0
310,2018-11-07,57.0,0.68,0
311,2018-11-08,52.0,0.0,0
312,2018-11-09,46.8,0.0,0
313,2018-11-10,45.9,0.8,0
314,2018-11-11,38.8,0.03,0
315,2018-11-12,42.8,0.0,0
316,2018-11-13,46.6,0.72,0
317,2018-11-14,38.7,0.38,0
318,2018-11-15,31.9,0.0,0
319,2018-11-16,38.9,1.4,0
320,2018-11-17,42.0,0.07,1
321,2018-11-18,42.2,0.0,1
322,2018-11-19,45.5,0.0,0
323,2018-11-20,45.4,0.0,0
324,2018-11-21,40.1,0.0,0
325,2018-11-22,25.2,0.0,0
326,2018-11-23,22.3,0.0,0
327,2018-11-24,36.7,0.0,0
328,2018-11-25,49.1,1.78,0
329,2018-11-26,50.0,0.81,0
330,2018-11-27,43.3,0.85,0
331,2018-11-28,38.6,0.03,0
332,2018-11-29,41.8,0.0,0
333,2018-11-30,39.9,0.0,0
334,2018-12-01,41.2,0.02,0
335,2018-12-02,47.4,0.34,0
336,2018-12-03,53.5,0.3,0
337,2018-12-04,40.7,0.0,0
338,2018-12-05,32.5,0.0,0
339,2018-12-06,34.5,0.0,0
340,2018-12-07,36.5,0.0,0
341,2018-12-08,29.7,0.0,0
342,2018-12-09,32.1,0.0,0
343,2018-12-10,33.4,0.0,0
344,2018-12-11,34.2,0.0,0
345,2018-12-12,36.1,0.0,0
346,2018-12-13,35.9,0.0,0
347,2018-12-14,44.4,0.03,0
348,2018-12-15,49.7,0.23,0
349,2018-12-16,42.2,0.41,0
350,2018-12-17,40.4,1.06,0
351,2018-12-18,35.5,0.03,0
352,2018-12-19,32.1,0.0,0
353,2018-12-20,41.8,0.0,0
354,2018-12-21,54.7,1.13,0
355,2018-12-22,47.9,0.72,0
356,2018-12-23,40.0,0.02,0
357,2018-12-24,39.5,0.11,0
358,2018-12-25,36.8,0.01,0
359,2018-12-26,36.8,0.0,0
360,2018-12-27,40.3,0.0,0
361,2018-12-28,48.8,0.18,0
362,2018-12-29,51.9,0.97,0
363,2018-12-30,37.4,0.0,0
364,2018-12-31,41.0,0.0,0
