"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72505394728","2013-01-01","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  37.8","24","  23.6","24","1011.9","24","006.9","24"," 10.0","24","  6.1","23","  8.9"," 19.0","  39.9"," ","  33.1"," "," 0.00","G","999.9","000000"
"72505394728","2013-01-02","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  27.1","24","  10.5","24","1016.8","24","011.8","24"," 10.0","24","  5.3","21","  9.9"," 19.0","  33.1"," ","  21.9"," "," 0.00","G","999.9","000000"
"72505394728","2013-01-03","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  28.4","24","  14.1","24","1020.6","24","015.6","24"," 10.0","24","  3.7","22","  8.0"," 15.0","  32.0"," ","  24.1"," "," 0.00","G","999.9","000000"
"72505394728","2013-01-04","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  33.4","24","  18.6","24","1017.0","24","012.0","24"," 10.0","24","  6.5","22"," 13.0"," 24.1","  37.0"," ","  30.0"," "," 0.00","G","999.9","000000"
"72505394728","2013-01-05","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  36.1","24","  18.7","24","1020.6","24","015.6","24"," 10.0","24","  6.6","24"," 12.0"," 21.0","  42.1"," ","  32.0"," "," 0.00","G","999.9","000000"
"72505394728","2013-01-06","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  38.3","24","  25.0","24","1019.5","22","014.6","24","  8.5","24","  5.3","22","  8.9"," 17.1","  46.0"," ","  34.0"," "," 0.00","G","999.9","000000"
"72505394728","2013-01-07","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  40.9","24","  23.8","24","1022.6","24","017.6","24"," 10.0","24","  5.7","22"," 11.1"," 17.1","  45.0"," ","  37.0"," "," 0.00","G","999.9","000000"
"72505394728","2013-01-08","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  40.7","24","  25.4","24","1028.5","24","023.5","24","  9.3","24","  5.1","22","  8.9"," 22.0","  48.0"," ","  35.1"," "," 0.00","G","999.9","000000"
"72505394728","2013-01-09","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  43.8","24","  30.8","24","1026.3","24","021.3","24","  7.8","24","  3.7","23","  9.9"," 15.9","  48.9"," ","  39.0"," "," 0.00","G","999.9","000000"
"72505394728","2013-01-10","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  44.3","24","  25.4","24","1028.5","24","023.6","24","  9.9","24","  5.9","22"," 11.1"," 19.0","  48.0"," ","  39.9"," "," 0.00","G","999.9","000000"
"72505394728","2013-01-11","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  40.5","24","  27.1","24","1030.4","23","025.1","24","  9.4","24","  4.5","24","  7.0","999.9","  44.1"," ","  37.0"," "," 0.00","G","999.9","010000"
"72505394728","2013-01-12","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  44.6","24","  43.0","24","1020.5","15","015.4","24","  3.9","24","  3.5","24","  7.0","999.9","  46.9"," ","  42.1"," "," 0.57","G","999.9","010000"
"72505394728","2013-01-13","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  45.3","24","  43.1","24","1019.7","11","014.7","24","  4.2","24","  2.9","24","  8.0","999.9","  48.9"," ","  43.0"," "," 0.02","G","999.9","100000"
"72505394728","2013-01-14","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  52.5","24","  45.4","24","1016.8","10","012.7","24","  5.9","24","  3.9","23","  8.9"," 15.9","  72.0"," ","  48.0"," "," 0.00","G","999.9","100000"
"72505394728","2013-01-15","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  37.9","24","  27.9","24","1025.5","18","020.4","24","  9.7","24","  5.7","23"," 11.1"," 14.0","  50.0"," ","  35.1"," "," 0.09","G","999.9","010000"
