"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72505394728","2015-01-01","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  31.4","24","   8.1","24","1019.6","24","014.6","24"," 10.0","24","  5.3","22","  9.9"," 25.1","  39.0"," ","  27.0"," "," 0.00","G","999.9","000000"
"72505394728","2015-01-02","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  38.7","24","  16.1","24","1020.5","24","015.5","24"," 10.0","24","  7.0","21","  9.9"," 20.0","  42.1"," ","  27.0"," "," 0.00","G","999.9","000000"
"72505394728","2015-01-03","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  35.5","24","  22.4","24","1032.6","16","027.1","24","  7.6","24","  5.0","24","  8.9"," 14.0","  42.1"," ","  33.1"," "," 0.00","G","999.9","011000"
"72505394728","2015-01-04","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  45.4","24","  42.3","24","1010.6","12","009.3","24","  5.8","24","  5.1","24","  8.9"," 19.0","  55.9"," ","  33.1"," "," 0.89","G","999.9","010000"
"72505394728","2015-01-05","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  40.9","24","  19.1","24","1015.5","24","010.6","24","  9.7","24","  9.7","22"," 15.9"," 40.0","  55.9"," ","  28.9"," "," 0.12","G","999.9","010000"
"72505394728","2015-01-06","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  21.0","24","   4.8","24","1026.7","18","020.8","24","  7.3","24","  4.2","24","  9.9"," 22.0","  27.0","*","  19.0","*"," 0.00","G","999.9","001000"
"72505394728","2015-01-07","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  20.7","24","   5.7","24","1015.9","24","010.8","24","  9.7","24","  9.5","21"," 15.9"," 29.9","  23.0"," ","  15.1"," "," 0.05","G","999.9","000000"
"72505394728","2015-01-08","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  13.0","24","  -6.2","24","1027.1","24","021.9","24"," 10.0","24","  8.8","22"," 18.1"," 31.1","  23.0"," ","   8.1"," "," 0.00","G","  1.2","000000"
"72505394728","2015-01-09","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  24.9","24","   7.5","24","1019.3","21","013.8","24","  8.7","24","  7.4","22"," 14.0"," 21.0","  33.1","*","  16.0","*"," 0.00","G","999.9","001000"
"72505394728","2015-01-10","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  21.1","24","  -0.3","24","1028.0","24","022.9","24"," 10.0","24","  7.5","22"," 15.0"," 20.0","  33.1"," ","  16.0"," "," 0.07","G","999.9","000000"
