"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72505394728","2018-01-01","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  11.7","24","  -4.6","24","1027.4","24","022.2","24"," 10.0","24","  7.3","24"," 11.1"," 19.0","  21.0"," ","   7.0"," "," 0.00","G","999.9","000000"
"72505394728","2018-01-02","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  17.9","24","   2.8","24","1028.1","24","022.9","23"," 10.0","24","  7.0","23"," 13.0"," 20.0","  26.1"," ","   7.0"," "," 0.00","G","999.9","000000"
"72505394728","2018-01-03","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  21.6","24","   2.1","24","1025.4","24","020.3","24"," 10.0","24","  3.5","23","  8.0"," 24.1","  30.0"," ","  12.9"," "," 0.00","G","999.9","000000"
"72505394728","2018-01-04","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  25.7","24","  14.6","24","1006.7","16","998.2","24","  5.4","24","  9.1","24"," 18.1"," 34.0","  30.0"," ","  16.0"," "," 0.07","G","999.9","101000"
"72505394728","2018-01-05","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  14.9","24","  -2.5","24","1006.2","24","001.4","23"," 10.0","24"," 11.2","23"," 17.1"," 29.9","  28.9"," ","   9.0"," "," 0.69","G","  1.2","000000"
"72505394728","2018-01-06","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  10.2","24","  -9.4","24","1021.0","24","015.8","24"," 10.0","24","  9.7","24"," 14.0"," 26.0","  19.0"," ","   8.1"," "," 0.00","G","  7.1","000000"
"72505394728","2018-01-07","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","   9.7","24","  -6.6","24","1032.6","24","027.4","24"," 10.0","24","  6.3","24"," 12.0"," 19.0","  18.0"," ","   5.0"," "," 0.00","G","  5.9","000000"
"72505394728","2018-01-08","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  22.5","24","   7.7","24","1024.3","23","018.9","24","  9.6","24","  5.1","23","  9.9"," 24.1","  30.0"," ","   5.0"," "," 0.00","G","  5.9","001000"
"72505394728","2018-01-09","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  35.6","24","  22.3","24","1019.6","24","014.6","24","  9.5","24","  6.4","21","  9.9"," 18.1","  44.1"," ","  17.1"," "," 0.01","G","  5.1","000000"
"72505394728","2018-01-10","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  35.1","24","  21.0","24","1030.3","24","025.2","24"," 10.0","24","  3.7","23","  7.0","999.9","  44.1"," ","  30.0"," "," 0.00","G","  5.1","000000"
