"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01-25","1.8",",,X,2400","38.0",",,X,","0.0",",,X,",,,"-4.4",",,X","-10.6",",,X",,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01-26","0.0",",,X,2400","0.0",",,X,","51.0",",,X,",,,"-2.8",",,X","-9.4",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01-27","0.0",",,X,2400","0.0",",,X,","25.0",",,X,",,,"1.1",",,X","-7.2",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01-28","5.6",",,X,2400","0.0","T,,X,","25.0",",,X,",,,"2.2",",,X","-1.7",",,X",,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X","    1",",,X","    1",",,X",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01-29","1.5",",,X,2400","0.0",",,X,","0.0",",,X,",,,"9.4",",,X","2.2",",,X",,,,,,,,,,,,,,,"    1",",,X","    1",",,X",,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01-30","1.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"15.0",",,X","3.9",",,X",,,"    1",",,X","    1",",,X",,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01-31","22.9",",,X,2400","0.0",",,X,","0.0",",,X,",,,"16.1",",,X","-1.1",",,X",,,"    1",",,X",,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-02-01","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"-0.6",",,X","-4.4",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-02-02","0.5",",,X,2400","3.0",",,X,","0.0",",,X,",,,"-1.7",",,X","-7.2",",,X",,,,,,,,,,,,,,,"    1",",,X","    1",",,X",,,,,"    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-02-03","0.5",",,X,2400","8.0",",,X,","0.0","T,,X,",,,"-1.1",",,X","-4.4",",,X",,,,,,,,,,,,,,,"    1",",,X","    1",",,X",,,,,"    1",",,X",,,,
